short_code,Colorfulness_Picture,Saturation_Picture,Contrast_Picture,Clarity_Picture,Brightness_Picture,Warm Hue_Picture,ROT_Picture,Diagonal_dominance_Picture,Physical_ver_Picture,Physical_Hor_Picture,Color_balance_vertical_Picture,Color_balance_horizontal_Picture,Texture_difference_Picture,Size_difference_Picture,Color_difference_Picture,Depth of field_hue_Picture,Depth of field_saturation_Picture,Depth of field_value_Picture
153.0,33.0,55.34,54.33,1.0,124.15,0.56,128.16005617976296,61.51828996322963,57.0,144.0,120.94,87.04,0.06711748806866705,0.6123491083676269,14.10218737173197,0.40811305070656706,0.14295103516266902,0.32554744525547413
154.0,40.0,118.58,38.46,1.0,49.61,0.06,194.9897433200013,36.062445840513924,19.0,70.0,85.04,74.72,0.10285818317347406,0.41810013717421124,6.839354592305869,0.4166043380703064,0.457107843137256,0.7967479674797332
155.0,36.0,92.88,54.58,1.0,69.75,0.15,105.67875850898325,28.2842712474619,88.0,128.0,119.65,96.32,0.14435472000188654,0.3855212620027435,1.5545257163339226,0.39044826141600364,0.03042433947157716,0.4398200224971909
156.0,30.0,74.93,42.64,1.0,63.72,0.27,141.77799547179387,43.13351365237939,54.0,115.0,87.71,85.56,0.13027874405991324,0.7579766803840878,12.06786294818509,0.6417264668636555,0.33187402909193614,0.3858497447118905
157.0,31.0,73.69,65.61,1.0,75.93,0.56,65.0,55.86143571373725,196.0,117.0,125.6,127.36,0.05591632449121749,0.5816015089163238,75.74052062067987,0.6896232242124766,0.1972668382287692,0.10055423594615928
158.0,46.0,62.32,52.67,1.0,90.82,0.25,175.6970245748187,100.51135206817065,149.0,7.0,118.6,97.07,0.11373669634691441,0.6027245241530956,7.140284959006682,0.40681133549034915,25.066666666666574,0.33508624316365193
159.0,53.0,67.07,60.36,1.0,117.18,0.66,112.00892821556681,89.09545442950498,69.0,195.0,167.44,124.59,0.10385406893841112,0.21517146776406035,41.6058938166937,0.18896713615023464,1.7110036275695328,0.19823788546253956
160.0,46.0,52.21,60.64,1.0,133.73,0.62,145.0,3.5355339059327373,75.0,80.0,153.0,77.6,0.10326599908835461,0.3143861454046639,123.38882870919223,0.14377256317689535,0.330637488106565,0.6807817589576404
161.0,14.0,34.55,52.55,1.0,133.29,0.77,162.077142126828,37.476659402887016,95.0,42.0,114.04,75.98,0.11884874536016499,0.171059670781893,48.5568990001043,0.23329848902404257,0.07052896725440787,0.08752515090543346
162.0,13.0,27.94,60.86,1.0,138.41,0.59,213.96495040076073,21.920310216782976,14.0,45.0,122.83,94.35,0.13055380565622085,0.2483196159122085,72.1360479354824,0.9753997539975392,1.8047619047619257,0.7216494845361329
163.0,6.0,58.74,68.93,0.99,51.29,0.15,138.88484438555562,65.76093065034891,140.0,47.0,104.94,47.07,0.07849267839429958,0.33469478737997255,109.85249717999575,0.1851011143210895,0.22477808532977,1.2606557377049166
164.0,19.0,60.62,61.15,1.0,80.09,0.73,198.9572818471342,51.179139502732625,351.5,280.0,136.21,120.18,0.02263320449300034,0.2382280049566295,103.8139531134733,0.4142498824267125,1.1769454310623206,0.3636363636363669
165.0,31.0,29.49,81.4,1.0,200.63,0.69,109.63069318803423,38.18376618407356,71.0,125.0,167.33,70.82,0.18465316960310804,0.42873382568359375,194.23324390559893,0.5528800254587886,0.11150627615062773,0.28507532956685433
166.0,47.0,95.49,65.81,0.98,65.83,0.84,105.75916035975324,9.19238815542512,42.0,55.0,128.54,100.28,0.07630253793928488,0.32848613038975916,65.59124213431562,0.4865540963101938,0.47965862954677285,0.43442622950819754
167.0,4.0,11.24,67.35,1.0,97.23,0.94,54.12947441089743,18.384776310850235,157.0,131.0,136.88,144.84,0.08992180107890556,0.2146604938271605,37.49816541019119,0.3048213272830403,0.6451612903225787,0.13225806451613023
168.0,6.0,18.89,46.55,0.98,32.41,0.67,27.43274604474652,26.162950903902257,80.5,117.5,67.24,58.72,0.1273654052454537,0.13816326530612244,128.47400241352406,0.3540945790080737,0.1727447216890595,0.30347593582887705
169.0,54.0,94.72,47.57,1.0,65.89,0.4,107.80898746290951,23.588869999836266,45.5,107.0,107.92,58.11,0.1484503356861886,0.5492671816201228,84.0935564626966,0.08233369683751342,0.3672268907563002,0.02840909090908856
170.0,7.0,21.95,30.59,1.0,70.24,0.26,45.27692569068709,1.414213562373095,119.0,117.0,61.29,49.97,0.060862526097811245,0.28357530864197533,13.506299521154126,0.16454915505119025,0.10647482014388489,0.0047619047619059445
171.0,24.0,48.32,54.63,1.0,114.1,0.21,45.35416188179427,23.334523779156065,169.0,136.0,134.6,106.9,0.10831037612833683,0.6293072702331962,19.520946818618587,3.135941644562329,0.11618062088429008,0.6866952789699586
173.0,28.0,37.95,65.55,1.0,93.49,0.17,116.76472069936193,114.55129855222069,277.0,115.0,114.11,114.25,0.06331015775925064,0.5591666666666667,103.76362156021018,0.7947658402203855,0.7384615384615365,0.230769230769234
174.0,50.0,155.96,43.35,1.0,67.19,0.68,186.02419197512995,23.334523779156065,33.0,66.0,80.01,68.49,0.12792005054299452,0.471639231824417,38.98767700003782,0.8178792920889422,0.42620232172471767,0.4027869940278705
176.0,10.0,42.59,51.63,1.0,82.64,0.22,49.24428900898052,41.7193000900063,228.0,169.0,131.21,119.94,0.16269910935530918,0.13503086419753085,79.69371189826113,1.0902888332954288,1.2419659735349715,0.12916666666666574
177.0,33.0,80.69,72.33,1.0,106.85,0.72,138.13037319865606,25.45584412271571,102.0,66.0,147.24,143.17,0.08780816038730715,0.9782064471879287,102.34071624840655,0.22224592845459057,0.21689343101643782,3.091480446927387
180.0,40.0,34.25,30.39,0.99,37.09,0.65,140.9432509913121,40.30508652763321,113.0,56.0,59.53,22.86,0.0826077046451581,0.289701646090535,45.573959758157734,0.17551234892275352,0.15287628053585492,0.030054644808738505
181.0,30.0,46.75,71.27,1.0,138.45,0.6,132.92019326565008,54.739032927231,55.5,133.0,195.26,79.22,0.0685697376419804,0.28179355281207136,79.22800815608205,0.003827227993439092,0.14447134786117855,0.09906291834002695
182.0,29.0,99.12,59.99,1.0,115.42,0.68,167.5231327309754,33.94112549695428,88.0,40.0,122.9,118.78,0.07112996704263923,0.45474279835390946,32.8955043107695,0.566485469370688,0.27374417400310735,0.17103494623655893
183.0,37.0,69.72,65.72,1.0,124.92,0.72,91.0823802938856,39.597979746446654,94.0,150.0,168.19,75.14,0.06431556464915583,0.5031001371742112,109.61606485566038,0.6298921417565483,0.6434606285907378,0.01758901758901787
184.0,6.0,14.79,14.19,1.0,191.07,1.0,98.00510190801293,14.849242404917497,101.0,122.0,31.95,9.12,0.09351200839797087,0.10058984910836763,30.409048267146854,0.02450229709035215,0.28787878787878735,0.06631762652705185
185.0,8.0,20.44,53.12,1.0,67.6,0.35,106.01886624558857,73.53910524340094,74.0,178.0,93.49,75.04,0.0391195757188019,0.37405349794238685,39.227722618641906,4.480769230769239,0.5646481178396072,0.2404921700223721
186.0,17.0,14.79,83.57,1.0,206.25,0.86,184.70787747142785,45.961940777125584,21.0,86.0,141.13,117.05,0.0768921457717945,0.4306241426611797,121.52978346364857,0.3771098474591569,0.4241833252072161,2.4444444444441067
187.0,15.0,20.71,24.93,1.0,230.62,0.02,185.930094390338,48.08326112068523,19.0,87.0,27.35,7.67,0.07370865207749319,0.21474965706447188,42.374645883291336,0.10144927536231896,0.22008547008547025,0.07692307692309325
188.0,34.0,17.12,53.44,1.0,233.17,0.95,220.51077071199947,16.263455967290593,36.0,13.0,67.19,80.43,0.16330868158940035,0.21732167352537723,159.1520928902458,1.468199398366996,0.0101798439090602,0.4436392914653773
